drawdate,sales,n1,n2,n3,n4,n5,winners_5,winners_4,winners_3,winners_2,prize_5,prize_4,prize_3,prize_2
2012-06-07,203542,21,27,29,33,34,2,120,2461,22439,11421,85,10,2
2012-06-08,217389,2,3,14,19,20,1,88,2351,25185,23417,121,10,2
2012-06-09,211661,10,11,13,17,23,0,82,2794,25886,0,384,8,2
2012-06-11,207460,2,17,20,32,34,0,71,2064,22507,0,481,12,2
2012-06-12,190801,9,13,16,19,33,0,67,2167,22120,0,445,10,2
2012-06-13,194881,2,23,27,29,35,3,61,2225,21807,7203,159,10,2
2012-06-14,196314,18,21,27,28,32,0,70,2151,21805,0,454,11,2
2012-06-15,211585,1,9,14,21,24,0,72,2577,24260,0,463,9,2
2012-06-16,210276,5,6,17,19,31,1,66,2372,24376,22638,155,10,2
2012-06-18,208064,11,13,22,26,27,0,65,2241,24055,0,501,10,2
2012-06-19,191202,1,7,19,28,37,0,84,2213,22897,0,345,10,2
2012-06-20,195882,7,10,20,24,35,0,55,2163,22887,0,552,10,2
2012-06-21,198443,20,22,25,33,35,1,73,2012,21312,22723,140,12,2
2012-06-22,210701,10,11,22,25,29,0,75,2561,25263,0,426,9,2
2012-06-23,210112,1,4,15,34,35,0,42,2089,22584,0,831,12,2
2012-06-25,207098,5,8,17,23,29,2,91,2614,24703,10869,107,8,2
2012-06-26,187166,12,18,26,36,37,0,64,2133,20684,0,476,11,2
2012-06-27,190192,5,16,20,21,37,0,64,1965,21436,0,475,11,2
2012-06-28,197386,14,17,24,25,36,0,67,2086,21473,0,484,11,2
2012-06-29,214379,10,11,24,27,35,0,69,2295,24596,0,490,10,2
2012-06-30,215330,16,18,20,23,26,0,62,2354,23290,0,573,11,2
2012-07-02,218138,1,9,19,23,27,1,81,2644,25594,23239,129,9,2
2012-07-03,205131,13,15,19,28,30,0,72,2234,23031,0,457,11,2
2012-07-04,181731,3,14,16,28,36,0,50,1810,19195,0,612,12,2
2012-07-05,201887,1,8,13,31,36,0,68,1976,21832,0,490,12,2
2012-07-06,214442,23,24,27,31,35,0,60,2297,23305,0,589,11,2
2012-07-07,213798,4,9,11,21,22,1,105,2829,25980,22058,94,8,2
2012-07-09,213019,9,11,21,25,34,0,75,2546,24740,0,443,10,2
2012-07-10,193302,10,15,30,34,35,0,51,2132,20842,0,628,10,2
2012-07-11,198105,12,14,21,24,29,1,88,2253,23503,20896,107,10,2
2012-07-12,199176,8,9,19,32,34,1,53,2135,22788,21686,184,11,2
2012-07-13,215109,2,20,21,33,36,1,60,2233,22937,24765,186,11,2
2012-07-14,211301,2,5,16,24,25,0,69,2419,24179,0,484,10,2
2012-07-16,211227,11,26,28,33,37,0,80,2304,23948,0,420,10,2
2012-07-17,192182,2,22,26,27,32,0,51,2027,20858,0,621,12,2
2012-07-18,194531,18,20,23,27,34,0,68,2068,21285,0,468,11,2
2012-07-19,197330,13,15,16,17,30,0,86,2172,21596,0,375,11,2
2012-07-20,209623,4,7,26,27,32,2,55,2374,23711,11520,190,10,2
2012-07-21,207006,2,8,9,12,36,0,72,2491,24448,0,441,9,2
2012-07-23,204241,2,4,6,23,33,1,72,2518,23405,22207,139,9,2
2012-07-24,187926,8,11,21,24,37,2,74,2276,23022,9619,117,9,2
2012-07-25,190738,9,17,20,27,36,1,83,2026,21315,21176,115,11,2
2012-07-26,192121,3,10,25,26,28,0,88,2280,22514,0,338,9,2
2012-07-27,204386,3,8,11,16,20,1,90,2548,24149,21638,108,9,2
2012-07-28,204208,3,6,9,11,14,1,112,2935,25066,20867,84,7,2
2012-07-30,202791,5,6,16,32,37,2,52,2133,21964,11536,200,12,2
2012-07-31,189814,5,6,16,18,33,1,72,2063,20940,21292,133,10,2
2012-08-01,198870,8,13,30,31,36,0,77,2000,21219,0,431,12,2
2012-08-02,200355,5,8,9,11,12,2,114,3189,26472,9482,75,6,2
2012-08-03,217807,3,20,27,29,36,0,70,2304,23979,0,507,12,2
2012-08-04,212691,7,11,18,23,27,0,114,3039,26723,0,270,7,2
2012-08-06,211276,3,7,17,24,28,1,106,2638,25979,21552,91,8,2
2012-08-07,191407,8,9,13,19,29,0,84,2559,23385,0,340,8,2
2012-08-08,195611,2,24,28,33,36,0,51,1998,20610,0,646,12,2
2012-08-09,197736,10,11,17,18,32,0,63,2230,22769,0,493,10,2
2012-08-10,206248,3,14,15,24,28,1,76,2324,23293,22700,134,10,2
2012-08-11,206171,3,4,12,18,36,0,76,2236,23614,0,428,11,2
2012-08-13,205501,5,7,12,25,37,1,93,2642,25760,20569,100,8,2
2012-08-14,184945,10,15,19,31,33,0,49,1964,20450,0,613,11,2
2012-08-15,198638,21,26,27,28,29,3,158,2267,21638,7500,64,10,2
2012-08-16,191769,6,8,28,33,37,0,67,2123,22021,0,451,11,2
2012-08-17,208305,5,6,22,24,35,1,63,2171,23588,22876,163,11,2
2012-08-18,206707,9,11,16,26,33,1,72,2308,23533,22599,142,10,2
2012-08-20,204099,7,18,19,33,36,1,81,2137,22798,22666,126,11,2
2012-08-21,188746,1,3,14,29,36,0,52,1878,20955,0,587,11,2
2012-08-22,190520,1,4,7,8,15,1,112,2650,23685,19227,77,8,2
2012-08-23,194710,2,21,27,29,33,0,119,2451,21775,0,263,9,2
2012-08-24,206599,1,7,21,26,30,0,67,2327,23726,0,486,10,2
2012-08-25,204134,2,5,6,27,35,0,61,2206,23355,0,529,10,2
2012-08-27,200908,3,6,10,28,36,0,72,2396,23182,0,437,10,2
2012-08-28,185401,14,19,22,26,29,0,57,2043,20254,0,534,11,2
2012-08-29,184871,3,9,10,32,35,0,59,1944,21167,0,494,10,2
2012-08-30,193781,3,7,17,19,27,0,108,2917,24415,0,259,7,2
2012-08-31,217596,1,5,17,19,21,1,103,2658,26004,22801,100,9,2
2012-09-01,214880,11,18,19,33,36,0,61,2270,23921,0,569,11,2
2012-09-03,195234,6,7,19,22,24,0,69,2313,23622,0,425,9,2
2012-09-04,191201,4,6,14,16,33,1,70,2035,20999,21521,138,11,2
2012-09-05,192835,2,20,22,30,33,1,65,2010,20221,22474,156,12,2
2012-09-06,194603,6,29,32,33,35,0,66,2051,20810,0,491,11,2
2012-09-07,207549,5,9,20,30,32,0,67,2250,23437,0,495,11,2
2012-09-08,205297,5,7,8,16,37,1,69,2557,25698,20577,134,8,2
2012-09-10,195520,1,21,29,35,36,0,54,1980,20646,0,609,12,2
2012-09-11,178302,16,17,18,24,34,3,70,1912,18967,6854,132,11,2
2012-09-12,177773,5,15,16,22,29,0,63,2070,20186,0,449,10,2
2012-09-13,180504,17,21,23,26,29,1,62,2262,20560,19726,143,9,2
2012-09-14,195619,1,6,8,14,25,0,73,2332,22433,0,422,9,2
2012-09-15,193589,1,3,7,21,26,0,77,2703,23905,0,371,8,2
2012-09-17,189746,2,6,20,25,33,0,65,1942,21864,0,458,11,2
2012-09-18,174203,1,19,33,34,35,0,67,1955,18248,0,440,11,2
2012-09-19,175497,8,13,16,33,37,0,58,1996,20185,0,475,10,2
2012-09-20,178023,2,4,9,15,36,0,55,1890,20210,0,515,11,2
2012-09-21,188553,4,21,23,24,31,0,49,2043,20820,0,626,10,2
2012-09-22,186104,8,9,23,33,35,0,59,2013,21796,0,488,11,2
2012-09-24,182865,13,18,32,33,34,0,65,2036,19753,0,465,10,2
2012-09-25,170072,7,12,25,32,37,0,65,2015,20031,0,403,10,2
2012-09-26,174117,5,19,30,31,34,0,66,1747,18504,0,441,11,2
2012-09-27,177280,8,11,16,17,35,1,43,1933,20698,18968,199,11,2
2012-09-28,188430,6,14,18,19,20,0,82,2156,20790,0,374,10,2
2012-09-29,188187,11,14,19,25,32,1,59,1842,20869,21020,160,12,2
2012-10-01,194260,3,15,20,28,36,0,64,1952,21119,0,500,11,2
2012-10-02,177358,16,30,32,36,37,0,77,1833,18047,0,397,12,2
2012-10-03,182314,1,3,12,16,22,1,71,2040,21429,19392,123,10,2
2012-10-04,181185,3,11,12,16,35,0,58,2074,20847,0,491,10,2
2012-10-05,191980,2,14,29,31,32,0,56,1904,20340,0,576,12,2
2012-10-06,192136,2,8,17,20,22,0,82,2304,22474,0,363,9,2
2012-10-08,181722,2,9,16,29,32,1,87,2059,20481,20034,103,11,2
2012-10-09,169949,7,17,26,30,34,0,66,1876,19080,0,414,10,2
2012-10-10,174734,1,11,19,20,26,1,62,1991,19715,19246,139,10,2
2012-10-11,176606,3,4,18,23,31,2,55,1960,19893,9740,160,10,2
2012-10-12,186539,16,17,21,27,37,0,62,2193,21111,0,479,10,2
2012-10-13,187299,6,11,12,15,24,0,78,2439,22186,0,368,8,2
2012-10-15,183629,3,11,12,14,28,2,56,2346,22093,9561,154,9,2
2012-10-16,168242,7,10,15,19,24,0,52,2148,20568,0,481,8,2
2012-10-17,172238,12,14,20,23,24,0,51,1996,19682,0,534,10,2
2012-10-18,175879,4,11,14,16,33,0,51,1968,19916,0,550,10,2
2012-10-19,186134,12,17,19,21,36,0,55,2037,21046,0,539,11,2
2012-10-20,188358,3,16,31,33,35,0,56,2112,20056,0,562,11,2
2012-10-22,185023,4,10,20,30,34,2,80,2137,19734,10648,120,10,2
2012-10-23,169336,4,8,20,22,32,0,47,1892,19274,0,572,10,2
2012-10-24,170686,10,12,19,23,27,0,82,2230,20439,0,315,8,2
2012-10-25,174943,7,22,23,25,34,0,54,1981,20014,0,513,11,2
2012-10-26,183552,3,18,22,30,37,1,54,1832,20463,20416,170,11,2
2012-10-27,182865,1,2,11,15,37,0,62,2098,21747,0,450,10,2
2012-10-29,177319,3,23,24,29,30,2,53,1838,20300,9647,164,11,2
2012-10-30,164908,18,21,29,35,36,0,45,1562,17492,0,614,12,2
2012-10-31,167623,1,7,8,23,34,0,68,1956,19863,0,378,9,2
2012-11-01,179055,8,10,20,32,34,2,67,1858,20079,9910,133,12,2
2012-11-02,191932,9,10,16,20,21,0,80,2178,22747,0,367,9,2
2012-11-03,194309,2,5,28,31,33,0,66,2043,21686,0,475,11,2
2012-11-05,188984,4,11,12,15,26,1,70,2252,22072,20214,130,10,2
2012-11-06,173142,4,9,13,21,23,1,59,2201,20742,18103,138,8,2
2012-11-07,171248,5,10,12,23,31,1,82,2142,20162,18188,100,9,2
2012-11-08,175566,1,11,13,16,20,0,59,2064,20436,0,463,10,2
2012-11-09,187272,6,24,28,32,36,0,91,1960,19648,0,348,11,2
2012-11-10,190209,4,8,19,20,33,0,63,2144,22148,0,469,10,2
2012-11-12,176408,2,26,27,33,35,2,51,1809,18959,10094,179,12,2
2012-11-13,166842,8,18,21,24,27,0,63,1940,19145,0,417,9,2
2012-11-14,171177,3,5,11,25,32,0,63,2179,20706,0,408,9,2
2012-11-15,174101,2,3,4,13,19,0,60,2238,21139,0,435,8,2
2012-11-16,183521,16,22,32,33,35,1,51,1989,19077,21523,190,11,2
